Req ID,Title,Description,Source Team,Submitted By,Date Submitted,OKR Theme,Customers Affected (Count),Customers Who Reported (Count),Affected Account Names,Churn Risk Score (1-5),Health Degradation Risk (1-5),Upsell Opportunity Score (1-5),Annual Renewal at Risk,Tech Debt?,Competitive Gap?,Competitor with This,Engineering Effort,PM Priority Score,Status,Target Quarter,Sprint Assignment,PM Rationale
REQ-001,DSA page load >8s on PDP report views,"Pages with 500+ SKUs take >8s to load. GeekSpeak flagged in last 2 syncs; Lassonde mentioned in onboarding review.",CS,Rohitha,2026-05-01,Retention,8,6,"GeekSpeak, Lassonde",4,4,2,$200K-$500K,No,No,,M,86,In Sprint,Q2 2026,Sprint-12,"High churn risk + 2 active accounts reporting. Arun confirmed M effort. Blocking GeekSpeak health score recovery."
REQ-002,Bulk export: download 10K+ SKU reports as CSV,"Users with large SKU sets (QVC, Lassonde) can't export full dataset. Manual workaround takes 2+ hours per report.",CS,Baghi,2026-05-01,Retention,6,5,"QVC, Lassonde, GeekSpeak",3,3,3,$50K-$200K,No,No,,S,66,Planned,Q2 2026,Sprint-13,"Solid retention signal. S effort makes this high ROI. Scheduling after REQ-001 unblocks eng capacity."
REQ-003,Multi-retailer rollup: single dashboard across Walmart + Target + Amazon,"Sales blocked on 3 deals — prospects ask for cross-retailer view in demo. Brian: 'We lose the comparison every time Stackline shows this.'",Sales,Brian,2026-04-28,Revenue Growth,3,0,"Bush Brothers (pipeline), Beiersdorf (pipeline)",2,2,5,$500K+,No,Yes,Stackline,L,63,Planned,Q3 2026,,"High upsell + $500K+ renewal pipeline. Deprioritizing Q2 — L effort, eng at capacity. Revisit after Sprint-12."
REQ-004,API p95 latency optimization (currently >4s),"All customers hit >4s p95 on data fetch calls. Affects DSA dashboard responsiveness and downstream integrations.",Engineering,Saurabh Sharma,2026-04-30,Platform Stability,20,0,All accounts,2,4,1,<$50K,Yes,No,,M,52,Planned,Q3 2026,,"Tech debt item. Health risk is real but no direct churn signal yet. Block-scheduling with REQ-001 to avoid eng conflict."
REQ-005,Competitor price change alerts via email/Slack,"CS wants to send proactive price change alerts to customers so they don't discover changes manually. 42Signals does this natively.",CS,Rohitha,2026-05-02,Retention,7,5,"Home Depot, Bush Brothers, GeekSpeak",3,2,4,$200K-$500K,No,Yes,42Signals,S,75,Under Review,Q2 2026,,"Strong retention + upsell angle. S effort. In review with Arun for effort confirmation before sprint assignment."
REQ-006,Share of Search: scale beyond 6 banners (GeekSpeak use case),"GeekSpeak scoping requests 20+ banner configurations. Current system caps at 6. Limits deal expansion and upsell.",CS,Lily,2026-05-03,Revenue Growth,2,2,"GeekSpeak, Lassonde",2,2,4,$200K-$500K,No,No,,M,58,Planned,Q3 2026,,"Active customer need. M effort. Scheduling Q3 — current SoS setup (Sprint-12) must complete first to validate baseline."
REQ-007,Scintilla pre-qualification: automate 4-question scoring,"Brian manually runs Scintilla pre-qual for each DSIM prospect. Automating the 4-question output would cut pipeline qualification from 2h to 10 min.",Sales,Brian,2026-05-05,Revenue Growth,0,0,DSIM pipeline,1,1,5,$500K+,No,No,,S,58,New,Q3 2026,,"Pipeline velocity play. Low effort, high future upsell. No current customer risk. Q3 target pending DSIM Phase 1 stability."
REQ-008,Jira integration: push DSA alerts into customer Jira boards,"Home Depot wants alerts pushed to their Jira. Currently they pull manually. CS escalated as renewal risk item at last QBR.",CS,Baghi,2026-05-02,Retention,2,2,Home Depot,4,3,2,$200K-$500K,No,No,,S,76,Under Review,Q2 2026,,"Renewal at risk + explicit customer ask. S effort. Checking if this can be API webhook vs full integration — affects effort score."
REQ-009,Legacy ETL migration to Spark (infra modernization),"Current ETL pipeline has 3 single points of failure. One outage = multi-hour data delay. Saurabh estimates risk is growing with data volume.",Engineering,Saurabh Sharma,2026-04-29,Platform Stability,25,0,All accounts,1,4,1,<$50K,Yes,No,,XL,25,Parking Lot,Q4 2026,,"Critical long-term stability item but XL effort makes Q2/Q3 infeasible. Parking with plan to spike in Q4. Accepted risk logged."
REQ-010,Rating & review sentiment trend scoring,"Customers want to see review sentiment over time (positive/negative ratio trending). Currently only raw star rating shown. Profitero has this.",CS,Rohitha,2026-04-27,Retention,5,3,"QVC, Lassonde",2,2,3,$50K-$200K,No,Yes,Profitero,M,47,Parking Lot,Q4 2026,,"Real gap vs Profitero but no acute churn risk. M effort with low urgency — parking Q4. Revisit if more accounts flag it."
REQ-011,Flyer/circular intelligence for grocery segment,"New prospect segment (grocery chains) asking for flyer competitive tracking. No current DataWeave coverage. Brian: could open entirely new vertical.",Sales,Karthik,2026-05-06,New Market,0,0,New segment,1,1,4,$500K+,No,No,,XL,28,Parking Lot,Q1 2027,,"Exciting new market but XL effort + no current customer base = high risk. Parking Q1 2027. Need POC customer commitment first."
REQ-012,DSIM: explicit reallocation output in Tableau template,"Lactalis and pipeline accounts need a standardized Tableau output showing budget reallocation recommendations. DS team building this now.",BA,Raghav,2026-04-25,Revenue Growth,2,2,"Lactalis, Bush Brothers (pipeline)",3,2,5,$500K+,No,No,,S,84,In Sprint,Q2 2026,Sprint-12,"In progress. Unlocks DSIM deal close for Bush Brothers. DS lead owns delivery. ETA: 2026-05-09."
